نوع,نوع محصول,محصول,جنس,فشار قابل تحمل,اندازه (mm),قیمت واحد (ریال),تعداد در کارتن/کیسه
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,110,1144000,15
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,125,1433000,12
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,160,2012000,21
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,200,4637000,14
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,225,4820000,12
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,250,7385000,9
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,63*63,239000,30
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,75*75,386000,20
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,90*90,634000,10
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,110*110,1316000,8
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,125*125,1825000,5
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,160*160,2877000,8
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,200*200,5184000,4
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,6,250*250,9281000,2
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,63*63,332000,30
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,75*75,497000,20
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,90*90,799000,10
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,110*110,1619000,8
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,125*125,2285000,5
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,160*160,3657000,8
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,10,200*200,6445000,4
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,16,63*63,450000,30
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,16,75*75,744000,20
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,16,90*90,1200000,10
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,16,110*110,2438000,8
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,16,125*125,3517000,5
اتصالات فشار قوی,جوشی,زانو 90 درجه,HDPE100,16,160*160,5483000,8
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,6,63*63,260000,30
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,6,75*75,347000,22
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,6,90*90,446000,12
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,6,110*110,840000,6
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,6,125*125,1269000,6
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,6,160*160,2103000,9
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,10,63*63,326000,40
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,10,75*75,472000,22
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,10,90*90,637000,12
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,10,110*110,1099000,6
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,10,125*125,1691000,6
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,10,160*160,2932000,9
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,16,63*63,428000,40
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,16,75*75,710000,22
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,16,90*90,1173000,12
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,16,110*110,1647000,8
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,16,125*125,2555000,6
اتصالات فشار قوی,جوشی,زانو 45 درجه,HDPE100,16,160*160,4395000,9
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,75*63,153000,50
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,90*75,269000,40
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,110*90,404000,18
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,125*110,508000,15
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,160*110,857000,6
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,160*125,857000,6
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,200*110,1478000,36
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,200*160,1548000,20
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,250*110,2530000,20
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,6,250*200,2530000,20
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,75*63,211000,50
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,90*75,358000,36
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,110*90,516000,18
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,125*110,741000,10
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,160*110,1253000,6
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,160*125,1253000,6
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,200*110,2210000,36
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,10,200*160,2266000,20
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,75*63,316000,36
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,90*75,532000,30
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,110*90,774000,12
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,125*110,1110000,10
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,160*110,1880000,6
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,160*125,1880000,6
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,200*110,3320000,30
اتصالات فشار قوی,جوشی,تبدیل,HDPE100,16,200*160,3320000,15
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,63*63*63,442000,20
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,75*63*75,572000,14
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,75*75*75,572000,14
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,90*63*90,909000,9
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,90*75*90,909000,8
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,90*90*90,909000,6
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,110*63*110,1326000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,110*75*110,1326000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,110*90*110,1326000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,110*110*110,1326000,12
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,125*90*125,1851000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,125*110*125,1851000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,125*125*125,1851000,9
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,160*110*160,3290000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,160*125*160,3290000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,160*160*160,3290000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,6,200*200*200,5972000,2
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,63*63*63,532000,20
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,75*63*75,826000,14
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,75*75*75,826000,14
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,90*63*90,1187000,8
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,90*75*90,1187000,8
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,90*90*90,1187000,7
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,110*63*110,1846000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,110*75*110,1846000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,110*90*110,1846000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,110*110*110,1846000,12
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,125*90*125,2542000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,125*110*125,2542000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,125*125*125,2542000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,160*110*160,4463000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,160*125*160,4463000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,10,160*160*160,4463000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,63*63*63,796000,20
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,75*63*75,1188000,14
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,75*75*75,1188000,14
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,90*63*90,1776000,8
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,90*75*90,1776000,8
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,90*90*90,1776000,6
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,110*63*110,2772000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,110*75*110,2772000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,110*90*110,2772000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,110*110*110,2772000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,125*90*125,3818000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,125*110*125,3818000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,125*125*125,3818000,10
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,160*110*160,6695000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,160*125*160,6695000,5
اتصالات فشار قوی,جوشی,سه راه 90 درجه,HDPE100,16,160*160*160,6695000,5
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,50,80000,120
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,63,127000,70
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,75,196000,36
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,90,330000,27
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,110,524000,16
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,125,808000,10
اتصالات فاضلابی,جوشی,زانو جوشی 45,HDPE100,6,160,1100000,4
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,50,56000,160
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,63,133000,70
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,75,204000,40
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,90,345000,27
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,110,571000,15
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,125,999000,8
اتصالات فاضلابی,جوشی,زانو جوشی 90 درجه,HDPE100,6,160,1455000,15
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,50*50*50,191000,53
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,63*63*63,311000,20
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,75*75*75,520000,16
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,90*90*90,729000,9
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,110*110*110,1429000,5
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,125*125*125,1790000,4
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 45 درجه همراه با درپوش,HDPE100,6,160*160*160,2322000,6
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,63*50*63,290000,30
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,75*63*75,439000,16
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,90*63*90,729000,11
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,110*63*110,1399000,8
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,110*75*110,1405000,8
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,110*90*110,1430000,5
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,125*110*125,1799000,4
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,160*110*160,2252000,7
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 45 درجه همراه با درپوش,HDPE100,6,160*125*160,2450000,7
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 90درجه همراه با درپوش,HDPE100,6,50*50*50,160000,70
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 90درجه همراه با درپوش,HDPE100,6,63*63*63,218000,30
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 90درجه همراه با درپوش,HDPE100,6,75*75*75,388000,20
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 90درجه همراه با درپوش,HDPE100,6,90*90*90,519000,12
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 90درجه همراه با درپوش,HDPE100,6,110*110*110,995000,8
اتصالات فاضلابی,جوشی,سه راه جوشی مساوی 90درجه همراه با درپوش,HDPE100,6,125*125*125,1288000,6
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,63*50*63,219000,30
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,75*50*75,499000,22
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,75*63*75,499000,20
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,90*63*90,849000,14
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,90*75*90,849000,14
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,110*63*110,989000,9
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,125*90*125,1685000,6
اتصالات فاضلابی,جوشی,سه راه جوشی نامساوی 90 درجه همراه با درپوش,HDPE100,6,125*110*125,1685000,6
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,63*50,92000,300
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,75*63,111000,180
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,90*63,162000,72
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,90*75,162000,100
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,110*63,230000,72
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,110*75,230000,60
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,110*90,230000,60
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,125*110,424000,32
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,160*110,499000,21
اتصالات فاضلابی,جوشی,تبدیل جوشی ,HDPE100,6,160*125,499000,21
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,50,20000,800
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,63,38000,400
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,75,48000,300
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,90,82000,200
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,110,151000,120
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,125,175000,90
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,160,202000,50
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,200,367000,20
اتصالات فاضلابی,جوشی,درپوش تست ,HDPE100,6,250,630000,
اتصالات فاضلابی,جوشی,سیفون قدیم ,HDPE100,6,50,223000,50
اتصالات فاضلابی,جوشی,سیفون قدیم ,HDPE100,6,63,520000,20
اتصالات فاضلابی,جوشی,سیفون قدیم ,HDPE100,6,75,799000,12
اتصالات فاضلابی,جوشی,سیفون قدیم ,HDPE100,6,90,1399000,9
اتصالات فاضلابی,جوشی,سیفون قدیم ,HDPE100,6,110,1900000,4
اتصالات فاضلابی,جوشی,سیفون جدید همراه با درپوش,HDPE100,6,63,420000,30
اتصالات فاضلابی,جوشی,سیفون جدید همراه با درپوش,HDPE100,6,90,999000,12
اتصالات فاضلابی,جوشی,سیفون جدید همراه با درپوش,HDPE100,6,110,1499000,7
اتصالات فاضلابی,جوشی,دریچه بازدید ,HDPE100,6,63,540000,100
اتصالات فاضلابی,جوشی,دریچه بازدید ,HDPE100,6,110,1100000,36
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,50,"361,000",80
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,63,"559,000",30
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,75,"699,000",20
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,90,"1,099,000",12
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,110,"1,599,000",8
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,125,"2,188,000",6
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,160,"2,520,000",10
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,200,"7,865,000",6
اتصالات فاضلابی,جوشی,موفه بلند ,HDPE100,6,250,"12,320,000",3
اتصالات فاضلابی,جوشی,موفه کوتاه,HDPE100,6,50,239000,100
اتصالات فاضلابی,جوشی,موفه کوتاه,HDPE100,6,63,423000,48
اتصالات فاضلابی,جوشی,موفه کوتاه,HDPE100,6,75,603000,35
اتصالات فاضلابی,جوشی,موفه کوتاه,HDPE100,6,90,720000,24
اتصالات فاضلابی,جوشی,موفه کوتاه,HDPE100,6,110,1111000,12
اتصالات فاضلابی,جوشی,موفه کوتاه,HDPE100,6,125,1652000,8
